方法,路径,说明,需登录,请求体,响应,状态
POST,/api/auth/login,管理员登录,否,"{ email, password }","{ token, user }",已完成
GET,/api/admin/users?page&pageSize,用户列表（分页）,是,"-","{ items: [{ id, username, email, role, is_banned, created_at }], total, page, pageSize }",已完成
PUT,/api/admin/users/:id/ban,封禁/解封用户,是,"{ is_banned }","{ id, username, is_banned, ... }",已完成
POST,/api/admin/boards,创建板块,是,"{ name, description }","{ id, name, description, created_at }",已完成
PUT,/api/admin/boards/:id,编辑板块,是,"{ name, description }","{ id, name, description, created_at }",已完成
DELETE,/api/admin/boards/:id,删除板块（级联删帖）,是,-,-,已完成
DELETE,/api/admin/posts/:id,删除任意帖子,是,-,-,已完成
DELETE,/api/admin/comments/:id,删除任意评论,是,-,-,已完成
